Response started,Response completed,IP address,Age,Age range,Gender,Country,"LookEasy is an Enterprise Resource Planning software company that has been recognized as a Startup under Startup India. It delivers an innovative solution to manage all details regarding an enterprise on the cloud. The target market is E-commerce segment in India.  It was founded on April 3, 2019 by Ati and Manavi. They are both Class XII pass.According to you, what is the probability of success of this enterprise?","According to you, what is the probability that this project will get funded?","According to you, what is the probability that this project will be abandoned?"
"Nov 05, 2019 02:10:07 PM","Nov 05, 2019 02:11:09 PM",49.15.220.155,39,,Female,,0.70,0.60,0.40
"Nov 05, 2019 02:20:23 PM","Nov 05, 2019 02:20:57 PM",223.238.215.25,29,,Female,,0.70,0.80,0.40
"Nov 05, 2019 03:55:10 PM","Nov 05, 2019 03:55:43 PM",49.15.222.76,29,,Male,,0.70,0.50,0.50
"Nov 05, 2019 03:55:14 PM","Nov 05, 2019 03:55:41 PM",122.174.11.188,33,,Male,,0.90,0.60,0.40
"Nov 05, 2019 03:57:57 PM","Nov 05, 2019 03:58:24 PM",157.39.43.51,26,,Male,,0.70,0.80,0.20
"Nov 05, 2019 04:40:32 PM","Nov 05, 2019 04:40:44 PM",132.154.95.52,29,,Male,,0.80,1.00,0.00
"Nov 05, 2019 04:53:29 PM","Nov 05, 2019 04:55:54 PM",106.211.143.16,23,,Female,,1.00,1.00,1.00
"Nov 05, 2019 06:09:41 PM","Nov 05, 2019 06:10:46 PM",49.35.215.13,20,,Male,,0.60,0.50,0.20
"Nov 05, 2019 06:13:12 PM","Nov 05, 2019 06:13:50 PM",103.41.27.74,26,,Male,,0.40,0.60,0.10
"Nov 05, 2019 06:56:29 PM","Nov 05, 2019 06:58:11 PM",47.30.202.208,28,,Male,,0.50,1.00,0.00
"Nov 05, 2019 07:44:23 PM","Nov 05, 2019 07:44:45 PM",47.9.217.39,21,,Male,,0.60,0.90,0.00
"Nov 05, 2019 07:45:05 PM","Nov 05, 2019 07:45:49 PM",103.112.18.20,55,,Male,,0.70,0.80,0.10
"Nov 05, 2019 07:51:32 PM","Nov 05, 2019 07:51:50 PM",157.45.206.6,28,,Female,,1.00,1.00,0.00
"Nov 05, 2019 09:59:59 PM","Nov 05, 2019 10:00:46 PM",27.4.7.107,36,,Male,,0.80,0.90,0.80
"Nov 05, 2019 10:00:43 PM","Nov 05, 2019 10:01:46 PM",47.15.189.185,44,,Male,,0.50,0.20,0.90
"Nov 05, 2019 10:00:56 PM","Nov 05, 2019 10:02:09 PM",120.59.251.229,30,,Male,,0.60,0.50,0.90
"Nov 05, 2019 10:09:19 PM","Nov 05, 2019 10:09:32 PM",157.47.205.72,20,,Female,,0.70,0.50,0.50
"Nov 05, 2019 11:25:30 PM","Nov 05, 2019 11:28:13 PM",103.207.3.56,41,,Male,,0.40,0.70,0.20
"Nov 05, 2019 11:33:36 PM","Nov 05, 2019 11:34:02 PM",157.50.198.71,29,,Female,,0.50,0.50,0.20
"Nov 06, 2019 12:59:34 AM","Nov 06, 2019 12:59:49 AM",157.43.30.201,20,,Male,,0.70,0.20,0.30
"Nov 06, 2019 12:59:53 AM","Nov 06, 2019 01:00:25 AM",47.15.179.74,26,,Male,,0.50,0.40,0.20
"Nov 06, 2019 01:49:49 AM","Nov 06, 2019 01:50:29 AM",137.97.94.145,22,,Female,,0.80,0.50,0.20
"Nov 06, 2019 01:49:50 AM","Nov 06, 2019 01:50:16 AM",106.217.238.26,29,,Female,,0.50,0.40,0.20
"Nov 06, 2019 02:10:45 AM","Nov 06, 2019 02:11:37 AM",157.119.107.211,46,,Female,,0.70,0.80,0.20
"Nov 06, 2019 03:59:36 AM","Nov 06, 2019 04:00:00 AM",111.92.59.63,23,,Male,,0.30,0.30,0.80
"Nov 06, 2019 04:01:43 AM","Nov 06, 2019 04:02:43 AM",223.231.81.166,20,,Male,,0.60,0.50,0.20
"Nov 06, 2019 04:07:06 AM","Nov 06, 2019 04:07:39 AM",45.127.44.60,23,,Male,,0.30,0.40,0.80
"Nov 06, 2019 04:07:08 AM","Nov 06, 2019 04:07:26 AM",47.247.171.91,27,,Male,,0.70,0.80,0.20
"Nov 06, 2019 04:07:08 AM","Nov 06, 2019 04:07:27 AM",223.233.30.245,28,,Male,,0.40,0.30,0.20
"Nov 06, 2019 04:07:11 AM","Nov 06, 2019 04:07:40 AM",157.49.203.136,28,,Male,,0.60,0.40,0.30
"Nov 06, 2019 07:44:26 AM","Nov 06, 2019 07:45:06 AM",157.51.8.186,42,,Female,,0.80,0.40,0.30
"Nov 06, 2019 07:44:32 AM","Nov 06, 2019 07:48:19 AM",117.206.101.188,35,,Male,,1.00,0.90,0.20
"Nov 06, 2019 07:44:37 AM","Nov 06, 2019 07:44:48 AM",183.83.237.181,32,,Female,,0.70,0.70,0.70
"Nov 06, 2019 08:26:41 AM","Nov 06, 2019 08:27:30 AM",43.228.229.100,39,,Male,,0.50,0.40,0.50
"Nov 06, 2019 08:27:32 AM","Nov 06, 2019 08:28:25 AM",103.82.209.177,35,,Male,,0.50,0.60,0.40
"Nov 06, 2019 09:13:41 AM","Nov 06, 2019 09:14:44 AM",157.33.75.202,38,,Female,,0.20,0.20,0.50
"Nov 06, 2019 09:14:27 AM","Nov 06, 2019 09:14:58 AM",157.51.198.139,27,,Male,,1.00,1.00,1.00
"Nov 06, 2019 09:14:28 AM","Nov 06, 2019 09:14:52 AM",47.11.141.155,32,,Male,,0.80,0.80,0.80
"Nov 06, 2019 09:14:30 AM","Nov 06, 2019 09:14:59 AM",223.226.111.68,24,,Female,,0.50,0.50,0.20
"Nov 06, 2019 09:24:35 AM","Nov 06, 2019 09:25:02 AM",157.44.217.248,23,,Female,,0.20,0.40,0.30
"Nov 06, 2019 09:24:37 AM","Nov 06, 2019 09:25:23 AM",106.202.14.41,24,,Female,,0.30,0.50,0.50
"Nov 06, 2019 09:24:46 AM","Nov 06, 2019 09:26:13 AM",223.185.165.170,39,,Male,,0.50,0.50,0.50
"Nov 06, 2019 03:10:33 PM","Nov 06, 2019 03:10:57 PM",157.33.227.96,32,,Female,,0.90,0.80,0.20
"Nov 06, 2019 03:12:11 PM","Nov 06, 2019 03:12:38 PM",47.15.245.192,41,,Male,,0.80,0.70,0.20
"Nov 06, 2019 03:58:08 PM","Nov 06, 2019 03:58:19 PM",171.50.218.227,39,,Male,,0.50,0.40,0.50
"Nov 06, 2019 04:00:50 PM","Nov 06, 2019 04:01:50 PM",49.206.220.193,24,,Male,,0.80,0.70,0.20
"Nov 06, 2019 04:01:04 PM","Nov 06, 2019 04:01:30 PM",43.231.58.13,20,,Male,,1.00,1.00,0.90
"Nov 06, 2019 04:01:12 PM","Nov 06, 2019 04:02:13 PM",157.34.132.132,32,,Male,,0.90,0.50,0.50
"Nov 06, 2019 04:01:14 PM","Nov 06, 2019 04:02:04 PM",106.211.193.144,36,,Male,,0.80,0.80,0.80
"Nov 06, 2019 04:41:29 PM","Nov 06, 2019 04:42:27 PM",14.143.121.82,39,,Male,,0.60,0.80,0.80
"Nov 06, 2019 04:55:23 PM","Nov 06, 2019 04:55:32 PM",157.45.110.175,25,,Female,,0.60,0.60,0.60
